,id,original_language,original_title,popularity
1098,542178,en,The French Dispatch,61.436
1099,4922,en,The Curious Case of Benjamin Button,50.237
1100,222935,en,The Fault in Our Stars,52.838
1101,200727,en,"Love, Rosie",53.335
1102,141052,en,Justice League,61.587
1103,238,en,The Godfather,54.022
1104,545609,en,Extraction,53.949
1105,80321,en,Madagascar 3: Europe's Most Wanted,55.558
1106,68737,en,Seventh Son,54.326
1107,471335,ko,치즈인더트랩,65.079
1108,506574,en,Descendants 3,78.113
1109,667969,en,Birds of Paradise,49.564
1110,732472,en,The Amityville Harvest,42.836
1111,11324,en,Shutter Island,56.076
1112,302666,en,10.0 Earthquake,57.477
1113,326359,en,Frozen Fever,54.562
1114,9769,en,Lolita,50.557
1115,359724,en,Ford v Ferrari,60.53
1116,9291,en,The Longest Yard,41.643
1117,468225,en,The Starling,53.632
1118,10867,it,Malèna,58.775
1119,55066,en,The Eternal,52.114
1120,7342,en,Carrie,62.71
1121,675353,en,Sonic the Hedgehog 2,58.089
1122,243688,en,Poltergeist,40.614
1123,350,en,The Devil Wears Prada,48.353
1124,618344,en,Justice League Dark: Apokolips War,52.432
1125,346672,en,Underworld: Blood Wars,48.742
1126,56292,en,Mission: Impossible - Ghost Protocol,58.429
1127,354556,ru,Защитники,50.223
1128,18861,ja,劇場版 NARUTO -ナルト- 大興奮!みかづき島のアニマル騒動だってばよ,55.714
1129,4523,en,Enchanted,59.458
1130,16577,en,Astro Boy,52.859
1131,428707,ja,劇場版 黒子のバスケ LAST GAME,52.598
1132,273477,en,Scouts Guide to the Zombie Apocalypse,56.686
1133,109689,es,Tengo ganas de ti,58.626
1134,302699,en,Central Intelligence,50.965
1135,648990,es,La casa,55.255
1136,215,en,Saw II,48.8
1137,475215,ja,未来のミライ,55.562
1138,511679,es,Héctor El Father: Conocerás la verdad,52.918
1139,874562,en,Swallow,55.939
1140,37735,en,Easy A,57.331
1141,4935,ja,ハウルの動く城,52.706
1142,68724,en,Elysium,52.059
1143,290764,en,Tracers,58.534
1144,479455,en,Men in Black: International,74.065
1145,920,en,Cars,59.195
1146,10112,en,The Aristocats,56.411
1147,146368,cn,虐之戀,52.4
1148,7485,en,Shooter,79.804
1149,86331,fr,Q,46.05
1150,753453,en,V/H/S/94,49.612
1151,1369,en,Rambo: First Blood Part II,50.739
1152,2978,en,Ghostbusters II,79.57
1153,106758,ja,天使のはらわた 赤い淫画,58.233
1154,26389,en,From Paris with Love,54.462
1155,891060,en,Spider-Man: Lotus,79.384
1156,854442,en,Next-Door Nightmare,79.384
1157,10191,en,How to Train Your Dragon,54.758
1158,289720,en,Outcast,47.261
1159,796849,ja,彼女,46.443
1160,481848,en,The Call of the Wild,50.723
1161,8373,en,Transformers: Revenge of the Fallen,55.454
1162,506680,en,Unbroken: Path to Redemption,55.116
1163,558,en,Spider-Man 2,65.27
1164,14574,en,The Boy in the Striped Pyjamas,47.175
1165,869617,fr,Friendzone,49.92
1166,11,en,Star Wars,62.168
1167,14560,en,Paul Blart: Mall Cop,50.62
1168,15167,en,Barbie in the Nutcracker,56.917
1169,41439,en,Saw 3D,49.408
1170,55779,en,Final Destination 5,43.899
1171,842171,th,โปรเจกต์ลับ หลับ เป็น ตาย,52.038
1172,513310,en,Boss Level,49.655
1173,44896,en,Rango,53.581
1174,345887,en,The Equalizer 2,43.79
1175,13654,en,101 Dalmatians II: Patch's London Adventure,57.117
1176,6479,en,I Am Legend,56.016
1177,546554,en,Knives Out,55.039
1178,812630,es,El cuartito,52.353
1179,12242,en,Mulan II,52.861
1180,841793,pt,Ilhados,44.518
1181,181808,en,Star Wars: The Last Jedi,54.966
1182,660982,en,American Pie Presents: Girls' Rules,56.199
1183,680,en,Pulp Fiction,59.3
1184,73456,en,Barbie: Princess Charm School,55.652
1185,12244,en,9,46.699
1186,11442,en,Halloween: Resurrection,52.085
1187,10528,en,Sherlock Holmes,37.233
1188,466282,en,To All the Boys I've Loved Before,51.792
1189,493922,en,Hereditary,48.14
1190,9532,en,Final Destination,52.521
1191,717192,nl,Ferry,54.72
1192,10340,en,Lady and the Tramp,57.016
1193,65291,en,Green Lantern: Emerald Knights,50.866
1194,101299,en,The Hunger Games: Catching Fire,46.959
1195,20943,en,The Ugly Truth,48.647
1196,13053,en,Bolt,56.544
1197,19458,en,Princess Protection Program,56.242
1198,454286,en,God's Not Dead: A Light in Darkness,56.6
1199,406563,en,Insidious: The Last Key,42.548
1200,76589,en,Justice League: Doom,50.837
1201,7980,en,The Lovely Bones,46.735
1202,547565,en,The Night House,42.387
1203,622230,en,LEGO Marvel Spider-Man: Vexed by Venom,54.556
1204,8839,en,Casper,43.761
1205,227348,en,Paranormal Activity: The Marked Ones,45.811
1206,869,en,Planet of the Apes,39.037
1207,360789,pt,"Sexo, Sexo e Sexo",55.823
1208,34584,en,Die unendliche Geschichte,55.733
1209,638597,en,Yes Day,48.057
1210,667538,en,Transformers: Rise of the Beasts,55.116
1211,424783,en,Bumblebee,59.595
1212,524251,en,I See You,48.151
1213,77866,en,Contraband,51.727
1214,15373,en,Role Models,46.275
1215,627661,en,Cranston Academy: Monster Zone,47.241
1216,9444,en,Anastasia,55.266
1217,824920,es,Stop,42.919
1218,43947,en,I Spit on Your Grave,47.264
1219,258489,en,The Legend of Tarzan,49.142
1220,29826,es,La Leyenda de la Nahuala,46.729
1221,471707,pl,Boże Ciało,
1222,630,en,The Wizard of Oz,55.653
1223,419430,en,Get Out,45.058
1224,16290,en,Jackass 3D,48.642
1225,9286,en,Final Destination 3,59.886
1226,442062,en,Goosebumps 2: Haunted Halloween,46.593
1227,570503,ko,유열의 음악앨범,58.694
1228,476968,en,"Paul, Apostle of Christ",46.665
1229,12279,en,Spy Kids 3-D: Game Over,53.799
1230,431693,en,Spies in Disguise,47.872
1231,47933,en,Independence Day: Resurgence,53.903
1232,41733,en,Due Date,49.846
1233,449443,en,Den of Thieves,49.404
1234,623491,en,The Babysitter: Killer Queen,45.734
1235,559957,zh,上海堡垒,59.209
1236,439157,ja,ドラゴンボールZ 復活の「F」 “未来”トランクス特別編,59.205
1237,716612,en,Spencer,54.036
1238,652,en,Troy,56.356
1239,257445,en,Goosebumps,43.012
1240,331482,en,Little Women,51.021
1241,6477,en,Alvin and the Chipmunks,48.737
1242,91586,en,Insidious: Chapter 2,48.734
1243,204082,en,Homefront,40.781
1244,11361,en,Halloween 5: The Revenge of Michael Myers,45.474
1245,10679,en,Iron Sky,46.325
1246,406997,en,Wonder,42.472
1247,601666,en,I Care a Lot,47.191
1248,667141,en,12 Hour Shift,47.832
1249,499701,en,Dora and the Lost City of Gold,50.257
1250,128748,en,Curse of the Blair Witch,49.357
1251,670428,en,Psycho Goreman,45.047
1252,37211,en,Scooby-Doo! and the Reluctant Werewolf,49.981
1253,118365,en,"Moses, Prince of Egypt",47.095
1254,36557,en,Casino Royale,74.368
1255,599281,en,Fear of Rain,40.276
1256,68735,en,Warcraft,55.715
1257,201088,en,Blackhat,48.872
1258,9792,en,The Hills Have Eyes,50.945
1259,13596,en,My Best Friend's Girl,52.892
1260,272,en,Batman Begins,50.492
1261,382190,ja,ポケモン・ザ・ムービーXY&Z ボルケニオンと機巧のマギアナ,46.857
1262,424694,en,Bohemian Rhapsody,55.553
1263,400136,ja,バイオハザード ヴェンデッタ,46.897
1264,550776,en,Believe Me: The Abduction of Lisa McVey,40.147
1265,13207,en,Friday the 13th,45.43
1266,818659,pt,Carnaval,50.82
1267,497,en,The Green Mile,54.523
1268,346651,en,Pandemic,51.18
1269,675490,en,The Unfamiliar,46.85
1270,845422,es,Fondeados,48.72
1271,50544,en,Friends with Benefits,54.871
1272,138832,en,We're the Millers,46.619
1273,23437,en,A Nightmare on Elm Street,51.063
1274,287075,en,Double Mama,38.973
1275,9100,en,The Craft,73.766
1276,524216,en,The Mortuary Collection,46.874
1277,291870,en,Dirty Grandpa,51.356
1278,9904,en,The Wild,53.599
1279,9836,en,Happy Feet,58.189
1280,16910,ja,劇場版 NARUTO -ナルト- 大激突!幻の地底遺跡だってばよ,48.838
1281,641960,en,Four Good Days,45.263
1282,58233,en,Johnny English Reborn,46.326
1283,16523,en,Where the Wild Things Are,47.07
1284,283366,en,Miss Peregrine's Home for Peculiar Children,51.026
1285,308531,en,Teenage Mutant Ninja Turtles: Out of the Shadows,44.855
1286,350640,es,Sexo limpio,48.463
1287,10137,en,Stuart Little,51.195
1288,228165,en,The SpongeBob Movie: Sponge Out of Water,54.737
1289,20829,en,Funny People,50.834
1290,317960,en,Viking Quest,48.459
1291,127521,en,6 Bullets,45.325
1292,595149,en,Death of Me,43.116
1293,300668,en,Annihilation,45.424
1294,16119,en,Cinderella III: A Twist in Time,50.31
1295,9078,en,The Sword in the Stone,49.258
1296,9488,en,Spy Kids 2: The Island of Lost Dreams,47.007
1297,646696,id,Mariposa,53.922
1298,71469,en,The Darkest Hour,47.505
1299,552687,ja,ヲタクに恋は難しい,51.684
1300,575803,nl,Mijn bijzonder rare week met Tess,47.714
1301,329865,en,Arrival,48.152
1302,42889,en,The Virginity Hit,43.446
1303,10987,en,Halloween: The Curse of Michael Myers,41.443
1304,615982,tr,Siccîn 6,46.211
1305,594718,ru,Спутник,54.331
1306,169209,en,Empire State,43.992
1307,53182,en,300: Rise of an Empire,47.19
1308,10588,en,The Cat in the Hat,55.179
1309,278924,en,Mechanic: Resurrection,56.285
1310,256591,en,Focus,52.926
1311,15255,en,Undisputed II: Last Man Standing,52.17
1312,11036,en,The Notebook,52.303
1313,819500,en,Found,50.689
1314,45612,en,Source Code,49.997
1315,381890,zh,美人鱼,49.496
1316,274854,en,The Last Witch Hunter,58.14
1317,821955,en,The Right Mom,72.166
1318,402900,en,Ocean's Eight,46.246
1319,736509,en,Intersect,42.426
1320,8277,en,American Pie Presents: Beta House,54.425
1321,637,it,La vita è bella,49.521
1322,663,en,Saw IV,46.919
1323,213927,en,Born to Race: Fast Track,46.228
1324,281957,en,The Revenant,46.667
1325,267860,en,London Has Fallen,71.938
1326,22794,en,Cloudy with a Chance of Meatballs,49.857
1327,694,en,The Shining,54.548
1328,116711,en,Epic,47.143
1329,55341,en,Jeepers Creepers 3,41.748
1330,11886,en,Robin Hood,46.386
1331,732450,en,Batman: Soul of the Dragon,54.496
1332,10439,en,Hocus Pocus,40.429
1333,205584,en,Gods of Egypt,51.433
1334,377,en,A Nightmare on Elm Street,50.175
1335,576784,ru,Конёк-горбунок,36.712
1336,49520,en,The Change-Up,50.91
1337,564,en,The Mummy,49.856
1338,9072,en,Little Man,34.852
1339,1724,en,The Incredible Hulk,50.048
1340,9431,en,Bordello of Blood,53.396
1341,509967,en,6 Underground,49.307
1342,24150,en,Halloween II,41.233
1343,84226,en,The Day,53.884
1344,10764,en,Quantum of Solace,67.782
1345,338970,en,Tomb Raider,49.087
1346,619264,es,El hoyo,45.198
1347,1734,en,The Mummy Returns,47.167
1348,2034,en,Training Day,71.039
1349,242828,ja,思い出のマーニー,41.842
1350,605,en,The Matrix Revolutions,52.186
1351,216282,en,Into the Storm,43.833
1352,175112,en,Tinker Bell and the Pirate Fairy,39.079
1353,23172,en,The Spy Next Door,41.524
1354,101,en,Léon: The Professional,58.812
1355,10882,en,Sleeping Beauty,46.563
1356,280,en,Terminator 2: Judgment Day,60.312
1357,423204,en,Angel Has Fallen,51.484
1358,193610,en,The Other Woman,39.061
1359,770742,it,"Mio fratello, mia sorella",42.35
1360,9358,en,Final Destination 2,46.491
1361,37797,ja,耳をすませば,48.276
1362,72559,en,G.I. Joe: Retaliation,44.526
1363,350499,ja,ポケモン・ザ・ムービーXY 光輪の超魔神 フーパ,49.023
1364,8456,en,Never Back Down,45.467
1365,12556,en,Ghosts of Girlfriends Past,45.963
1366,814820,en,All for Her,43.89
1367,15165,en,Barbie as The Princess & the Pauper,53.257
1368,530385,en,Midsommar,43.77
1369,10555,en,Shark Tale,48.452
1370,10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,47.152
1371,1374,en,Rocky IV,69.976
1372,275619,en,Age of Tomorrow,32.496
1373,1250,en,Ghost Rider,41.874
1374,16366,en,Joseph: King of Dreams,39.917
1375,19912,en,The Final Destination,45.668
1376,800669,id,A Perfect Fit,45.089
1377,78215,en,Into the White,47.464
1378,59108,en,Tower Heist,42.964
1379,93837,en,So Undercover,37.214
1380,10527,en,Madagascar: Escape 2 Africa,49.66
1381,6844,en,The Ten Commandments,48.448
1382,14199,en,The Adventures of Sharkboy and Lavagirl,46.148
1383,854,en,The Mask,54.645
1384,10012,en,Cursed,48.188
1385,817772,en,Seven Deadly Sins: Lust,45.831
1386,253412,en,Everest,46.035
1387,49040,en,The Bourne Legacy,45.782
1388,323027,en,Justice League: Gods and Monsters,45.432
1389,353081,en,Mission: Impossible - Fallout,49.585
1390,1364,es,Lucía y el sexo,43.916
1391,64694,es,"No eres tú, soy yo",38.661
1392,656561,en,Alien Xmas,46.286
1393,362585,ja,傷物語〈Ⅲ冷血篇〉,51.162
1394,11811,en,Leprechaun,40.603
1395,756278,en,Haunting of the Mary Celeste,42.668
1396,399897,ja,妖女伝説セイレーンXXX～魔性の悦楽～,49.923
1397,381284,en,Hidden Figures,49.802
1398,13955,en,Beethoven's Big Break,49.893
1399,70006,en,Never Back Down 2: The Beatdown,41.092
1400,10283,en,Friday the 13th Part VIII: Jason Takes Manhattan,50.387
1401,13002,en,Barbie in the 12 Dancing Princesses,49.135
1402,227719,en,Project Almanac,49.636
1403,79082,ja,ONE PIECE 3D 麦わらチェイス,43.361
1404,14442,en,Ella Enchanted,43.877
1405,567604,en,Once Upon a Deadpool,42.886
1406,46529,en,I Am Number Four,42.12
1407,340382,ja,進撃の巨人 ATTACK ON TITAN エンド オブ ザ ワールド,53.366
1408,278927,en,The Jungle Book,40.811
1409,297270,en,Tinker Bell and the Legend of the NeverBeast,47.353
1410,59967,en,Looper,43.7
1411,268,en,Batman,42.888
1412,14001,en,Dead Silence,41.283
1413,765169,es,BIA: Un Mundo al Revés,43.401
1414,458220,en,Palmer,44.137
1415,75258,en,Secret of the Wings,52.325
1416,9323,ja,GHOST IN THE SHELL,44.819
1417,504631,en,Mermaid Down,40.08
1418,241259,en,Alice Through the Looking Glass,50.409
1419,9378,en,Thir13en Ghosts,46.748
1420,287948,en,The Transporter Refueled,53.244
1421,171581,en,The Marine 3: Homefront,44.537
1422,13,en,Forrest Gump,48.079
1423,16907,ja,劇場版 NARUTO 大活劇! 雪姫忍法帖だってばよ!!,49.281
1424,238615,en,Self/less,43.724
1425,552095,en,PAW Patrol: Mighty Pups,45.029
1426,4348,en,Pride & Prejudice,44.161
1427,227859,en,The Book of Daniel,45.134
1428,532321,ja,Re:ゼロから始める異世界生活 Memory Snow,46.774
1429,1427,en,Perfume: The Story of a Murderer,41.258
1430,173185,fr,20 ans d'écart,45.009
1431,1691,en,Hostel: Part II,43.498
1432,381719,en,Peter Rabbit,40.245
1433,256835,en,Toy Story That Time Forgot,42.684
1434,431580,en,Abominable,38.75
1435,136400,en,2 Guns,46.629
1436,288985,it,Le Porno Killers,50.403
1437,578,en,Jaws,44.071
1438,58224,en,Mr. Popper's Penguins,45.073
1439,18126,en,Hannah Montana: The Movie,43.117
1440,10607,en,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,46.962
1441,189,en,Sin City: A Dame to Kill For,46.493
1442,59429,ja,パラノーマル・アクティビティ 第2章 TOKYO NIGHT,45.956
1443,19185,en,Night of the Living Dead,48.201
1444,77174,en,ParaNorman,41.953
1445,111,en,Scarface,51.541
1446,38,en,Eternal Sunshine of the Spotless Mind,39.787
1447,550,en,Fight Club,47.081
1448,390734,ja,キングスグレイブ ファイナルファンタジーXV,47.936
1449,73723,en,The Lorax,44.327
1450,454527,fr,Benedetta,66.927
1451,181533,en,Night at the Museum: Secret of the Tomb,43.085
1452,146216,en,RED 2,48.374
1453,7131,en,Van Helsing,40.618
1454,471506,en,Greta,44.682
1455,445030,ja,ノーゲーム・ノーライフ ゼロ,61.17
1456,440,en,Aliens vs Predator: Requiem,45.109
1457,350312,te,బాహుబలి 2: ది కన్ క్లూజన్,44.163
1458,448969,ja,劇場版「黒子のバスケ」ウインターカップ総集編～扉の向こう～,46.997
1459,419680,en,Daddy's Home 2,44.656
1460,136835,en,No Good Deed,49.209
1461,1091,en,The Thing,41.831
1462,339964,en,Valerian and the City of a Thousand Planets,41.038
1463,11359,en,The Indian in the Cupboard,45.873
1464,82633,en,Lawless,46.626
1465,12155,en,Alice in Wonderland,52.422
1466,454699,en,Happy Family,42.877
1467,487297,en,What Men Want,40.323
1468,8275,en,American Pie Presents: The Naked Mile,51.553
1469,414906,en,The Batman,41.519
1470,741228,en,Locked Down,43.92
1471,34134,en,Barbie in A Mermaid Tale,45.1
1472,508763,en,A Dog's Way Home,42.613
1473,618416,en,Penguin Bloom,38.158
1474,204450,de,Lesbian Love,42.359
1475,466272,en,Once Upon a Time… in Hollywood,47.364
1476,419743,en,Disobedience,41.103
1477,638449,en,The Last Letter From Your Lover,44.262
1478,25195,en,Leap Year,50.342
1479,826733,es,El cover,39.186
1480,799497,pt,Cabras da Peste,50.362
1481,218043,en,Left Behind,44.785
1482,28178,en,Hachi: A Dog's Tale,42.535
1483,604,en,The Matrix Reloaded,49.731
1484,726208,es,Voces,36.064
1485,761898,ja,劇場版 ソードアート・オンライン プログレッシブ 星なき夜のアリア,41.814
1486,11284,en,Freddy's Dead: The Final Nightmare,46.271
1487,152259,en,Phantom,38.822
1488,401469,en,Widows,30.429
1489,10545,en,The Hunchback of Notre Dame,53.008
1490,256040,te,బాహుబలి:ద బిగినింగ్,46.762
1491,565,en,The Ring,41.105
1492,10229,en,A Walk to Remember,43.904
1493,76285,en,Percy Jackson: Sea of Monsters,47.554
1494,769,en,GoodFellas,37.4
1495,119892,zh,西遊記之大鬧天宮,37.802
1496,659986,en,The Owners,38.084
1497,80389,en,Get the Gringo,43.791
1498,9316,th,Ong Bak,44.28
1499,54138,en,Star Trek Into Darkness,38.277
1500,487242,en,Suicide Squad: Hell to Pay,42.734
1501,45781,en,Hole in One,50.048
1502,460019,en,Truth or Dare,41.177
1503,71880,en,Jack and Jill,35.96
1504,133121,en,Biohazard: Damnation,34.254
1505,621151,en,Spell,44.798
1506,23398,en,Alvin and the Chipmunks: The Squeakquel,50.451
1507,840427,ro,Tata mută munții,44.45
1508,15015,en,Barbie as Rapunzel,49.239
1509,15016,en,Barbie of Swan Lake,43.484
1510,619432,ja,木ノ葉の里の大運動会,41.663
1511,55301,en,Alvin and the Chipmunks: Chipwrecked,44.731
1512,456740,en,Hellboy,48.044
1513,280092,en,Insidious: Chapter 3,45.625
1514,43539,en,The Next Three Days,38.721
1515,348,en,Alien,40.367
1516,260372,en,Bermuda Tentacles,42.001
1517,8982,th,ต้มยำกุ้ง,50.417
1518,622855,en,Jingle Jangle: A Christmas Journey,39.013
1519,166666,de,3096 Tage,31.466
1520,105,en,Back to the Future,45.149
1521,399402,en,Hunter Killer,48.414
1522,845222,ko,킹덤: 아신전,45.318
1523,10010,en,Brother Bear 2,45.696
1524,707131,en,Polaroid,61.829
1525,82390,en,The Paperboy,41.689
1526,809970,pl,Hiacynt,42.269
1527,28,en,Apocalypse Now,40.634
1528,9016,en,Treasure Planet,41.384
1529,315837,en,Ghost in the Shell,47.592
1530,298250,en,Jigsaw,43.291
1531,741998,it,Il legame,40.722
1532,614409,en,To All the Boys: Always and Forever,45.436
1533,18360,en,Night at the Museum: Battle of the Smithsonian,47.516
1534,265147,de,Die goldene Banane von Bad Porno,51.561
1535,314405,it,Il racconto dei racconti,64.483
1536,12536,en,Home Alone 4,46.358
1537,11024,en,Scooby-Doo 2: Monsters Unleashed,49.443
1538,444308,en,Cashback,37.526
1539,752455,en,Angela's Christmas Wish,44.033
1540,18131,en,Baby on Board,39.871
1541,35056,en,Date Night,32.642
1542,49524,en,R.I.P.D.,49.344
1543,888,en,The Flintstones,43.585
1544,43593,en,Piranha 3D,38.886
1545,8274,en,American Pie Presents: Band Camp,47.32
1546,9319,en,The Last Boy Scout,64.096
1547,872537,en,Convergence: Courage in a Crisis,47.778
1548,5559,en,Bee Movie,53.808
1549,715123,en,Books of Blood,43.901
1550,494407,ja,劇場版ポケットモンスター みんなの物語,
1551,11778,en,The Deer Hunter,29.543
1552,271718,en,Trainwreck,41.785
1553,10781,en,The Texas Chainsaw Massacre: The Beginning,39.09
1554,576004,en,Porno,45.056
1555,290595,en,The Huntsman: Winter's War,37.592
1556,218,en,The Terminator,42.481
1557,761270,sv,Dancing Queens,45.139
1558,6114,en,Bram Stoker's Dracula,40.52
1559,753926,en,Toys of Terror,39.132
1560,579051,en,Silk Road,44.28
1561,338762,en,Bloodshot,44.237
1562,588,en,Silent Hill,37.309
1563,406990,en,What Happened to Monday,39.502
1564,11917,en,Saw V,44.74
1565,2667,en,The Blair Witch Project,39.638
1566,36648,en,Blade: Trinity,37.037
1567,39451,en,Little Fockers,39.136
1568,728791,en,Playhouse,46.212
1569,22970,en,The Cabin in the Woods,
1570,837463,en,The Perfect Wedding,40.675
1571,181283,en,Child 44,35.743
1572,270303,en,It Follows,40.848
1573,10591,en,The Girl Next Door,44.017
1574,37056,en,Letters to Juliet,36.918
1575,13700,en,Home on the Range,43.711
1576,774810,en,A Trash Truck Christmas,37.224
1577,81005,en,Jack the Giant Slayer,47.213
1578,137106,en,The Lego Movie,43.214
1579,474395,en,Teen Titans Go! To the Movies,42.672
1580,52629,es,El Infierno,40.26
1581,280217,en,The Lego Movie 2: The Second Part,37.424
1582,98567,cn,十二生肖,42.759
1583,267935,en,The BFG,45.261
1584,405774,en,Bird Box,57.768
1585,411088,es,Contratiempo,45.399
1586,9725,en,Friday the 13th Part 2,36.44
1587,433,en,Mary Poppins,43.382
1588,49527,en,Man on a Ledge,44.235
1589,254470,en,Pitch Perfect 2,41.974
1590,13285,en,Barbie Fairytopia: Mermaidia,40.721
1591,50646,en,"Crazy, Stupid, Love.",37.922
1592,627290,en,Antebellum,35.459
1593,6537,es,El orfanato,34.419
1594,514710,ja,ちいさな英雄－カニとタマゴと透明人間－,44.479
1595,518764,zh,动物世界,35.978
1596,8273,en,American Wedding,45.964
1597,395990,en,Death Wish,36.673
1598,391713,en,Lady Bird,44.671
1599,252,en,Willy Wonka & the Chocolate Factory,44.158
1600,195589,en,Neighbors,39.611
1601,315465,ja,バケモノの子,44.212
1602,323660,en,Avengers Grimm,36.7
1603,347126,en,God's Not Dead 2,34.959
1604,597890,en,Voyagers,39.183
1605,364111,ja,心が叫びたがってるんだ。,44.453
1606,664767,en,Mortal Kombat Legends: Scorpion's Revenge,44.126
1607,476669,en,The King's Man,42.633
1608,399360,en,Alpha,35.638
1609,440471,en,Escape Plan 2: Hades,37.132
1610,640,en,Catch Me If You Can,40.067
1611,62214,en,Frankenweenie,48.616
1612,76617,en,Texas Chainsaw 3D,35.911
1613,343795,en,90 Minutes in Heaven,45.661
1614,10996,en,Stuart Little 2,43.804
1615,9714,en,Home Alone 3,37.8
1616,192141,en,No Escape,44.102
1617,407439,en,Mary Magdalene,44.656
1618,63311,es,La piel que habito,39.092
1619,745881,th,ร่างทรง,48.994
1620,530915,en,1917,38.561
1621,354282,en,The Osiris Child,35.393
1622,11470,en,Jason X,39.135
1623,170,en,28 Days Later,45.83
